Type,Distribution,K,N,Dimensions,Time
Dumb,gaussian,25,4096,2,0.00511488
Dumb,gaussian,50,4096,2,0.00504057
Dumb,gaussian,75,4096,2,0.00503113
Dumb,gaussian,100,4096,2,0.00536717
Dumb,gaussian,125,4096,2,0.00524345
Dumb,gaussian,150,4096,2,0.00512264
Dumb,gaussian,175,4096,2,0.00517905
Dumb,gaussian,200,4096,2,0.00509543
Buckets,gaussian,10,4096,2,0.00368994
Buckets,gaussian,25,4096,2,0.00511208
Buckets,gaussian,50,4096,2,0.00296689
Buckets,gaussian,75,4096,2,0.00474774
Buckets,gaussian,100,4096,2,0.00380686
Buckets,gaussian,125,4096,2,0.00252726
Buckets,gaussian,150,4096,2,0.0047286
Buckets,gaussian,175,4096,2,0.00448765
Buckets,gaussian,200,4096,2,0.00314154
Buckets,gaussian,10,4096,3,0.00439073
Buckets,gaussian,25,4096,3,0.00331979
Buckets,gaussian,50,4096,3,0.00323116
Buckets,gaussian,75,4096,3,0.0055718
Buckets,gaussian,100,4096,3,0.00406113
Buckets,gaussian,125,4096,3,0.00550197
Buckets,gaussian,150,4096,3,0.00774874
Buckets,gaussian,175,4096,3,0.00383545
Buckets,gaussian,200,4096,3,0.00601099
Buckets,gaussian,10,4096,10,7.38089
Buckets,gaussian,25,4096,10,7.2696
Buckets,gaussian,50,4096,10,7.18607
Buckets,gaussian,75,4096,10,7.17961
Buckets,gaussian,100,4096,10,7.26685
Buckets,gaussian,125,4096,10,7.21609
Buckets,gaussian,150,4096,10,7.23425
Buckets,gaussian,175,4096,10,7.19793
Buckets,gaussian,200,4096,10,7.29117
Quad Tree,gaussian,10,4096,2,0.000973995
Quad Tree,gaussian,25,4096,2,0.00132802
Quad Tree,gaussian,50,4096,2,0.0010969
Quad Tree,gaussian,75,4096,2,0.00223779
Quad Tree,gaussian,100,4096,2,0.00234094
Quad Tree,gaussian,125,4096,2,0.00223117
Quad Tree,gaussian,150,4096,2,0.00235281
Quad Tree,gaussian,175,4096,2,0.00324043
Quad Tree,gaussian,200,4096,2,0.00203711
KD Tree,gaussian,10,4096,2,0.000964021
KD Tree,gaussian,25,4096,2,0.0012935
KD Tree,gaussian,50,4096,2,0.0013483
KD Tree,gaussian,75,4096,2,0.00170978
KD Tree,gaussian,100,4096,2,0.00149695
KD Tree,gaussian,125,4096,2,0.00110913
KD Tree,gaussian,150,4096,2,0.00271719
KD Tree,gaussian,175,4096,2,0.0032144
KD Tree,gaussian,200,4096,2,0.00371099
KD Tree,gaussian,10,4096,3,0.00112995
KD Tree,gaussian,25,4096,3,0.00129007
KD Tree,gaussian,50,4096,3,0.001665
KD Tree,gaussian,75,4096,3,0.0020515
KD Tree,gaussian,100,4096,3,0.00241796
KD Tree,gaussian,125,4096,3,0.00267351
KD Tree,gaussian,150,4096,3,0.00247227
KD Tree,gaussian,175,4096,3,0.00300536
KD Tree,gaussian,200,4096,3,0.00355731
KD Tree,gaussian,10,4096,10,0.0033775
KD Tree,gaussian,25,4096,10,0.0033896
KD Tree,gaussian,50,4096,10,0.00412451
KD Tree,gaussian,75,4096,10,0.00438851
KD Tree,gaussian,100,4096,10,0.0057023
KD Tree,gaussian,125,4096,10,0.0057645
KD Tree,gaussian,150,4096,10,0.00668424
KD Tree,gaussian,175,4096,10,0.00757512
KD Tree,gaussian,200,4096,10,0.00786986
Dumb,gaussian,10,8192,2,0.0121695
Dumb,gaussian,25,8192,2,0.0115189
Dumb,gaussian,50,8192,2,0.0129057
Dumb,gaussian,75,8192,2,0.0162995
Dumb,gaussian,100,8192,2,0.0160936
Dumb,gaussian,125,8192,2,0.0134648
Dumb,gaussian,150,8192,2,0.0123344
Dumb,gaussian,175,8192,2,0.0117989
Dumb,gaussian,200,8192,2,0.0114704
Buckets,gaussian,10,8192,2,0.0119394
Buckets,gaussian,25,8192,2,0.0143148
Buckets,gaussian,50,8192,2,0.00876557
Buckets,gaussian,75,8192,2,0.0109542
Buckets,gaussian,100,8192,2,0.00795094
Buckets,gaussian,125,8192,2,0.0207498
Buckets,gaussian,150,8192,2,0.0149637
Buckets,gaussian,175,8192,2,0.012187
Buckets,gaussian,200,8192,2,0.00829114
Buckets,gaussian,10,8192,3,0.00888447
Buckets,gaussian,25,8192,3,0.0132427
Buckets,gaussian,50,8192,3,0.00855658
Buckets,gaussian,75,8192,3,0.00709774
Buckets,gaussian,100,8192,3,0.0096283
Buckets,gaussian,125,8192,3,0.0105299
Buckets,gaussian,150,8192,3,0.0100821
Buckets,gaussian,175,8192,3,0.00662135
Buckets,gaussian,200,8192,3,0.00908774
Buckets,gaussian,10,8192,10,4.87537
Buckets,gaussian,25,8192,10,7.32995
Buckets,gaussian,50,8192,10,7.39078
Buckets,gaussian,75,8192,10,7.37738
Buckets,gaussian,100,8192,10,7.34221
Buckets,gaussian,125,8192,10,7.35219
Buckets,gaussian,150,8192,10,7.25964
Buckets,gaussian,175,8192,10,7.23496
Buckets,gaussian,200,8192,10,7.33786
Quad Tree,gaussian,10,8192,2,0.00208763
Quad Tree,gaussian,25,8192,2,0.00230251
Quad Tree,gaussian,50,8192,2,0.00187359
Quad Tree,gaussian,75,8192,2,0.00330085
Quad Tree,gaussian,100,8192,2,0.0022281
Quad Tree,gaussian,125,8192,2,0.0042246
Quad Tree,gaussian,150,8192,2,0.00468252
Quad Tree,gaussian,175,8192,2,0.00448512
Quad Tree,gaussian,200,8192,2,0.00355047
KD Tree,gaussian,10,8192,2,0.00183605
KD Tree,gaussian,25,8192,2,0.00201736
KD Tree,gaussian,50,8192,2,0.0022967
KD Tree,gaussian,75,8192,2,0.00261325
KD Tree,gaussian,100,8192,2,0.00434217
KD Tree,gaussian,125,8192,2,0.00285876
KD Tree,gaussian,150,8192,2,0.00471418
KD Tree,gaussian,175,8192,2,0.0057559
KD Tree,gaussian,200,8192,2,0.0050486
KD Tree,gaussian,10,8192,3,0.00229524
KD Tree,gaussian,25,8192,3,0.00259402
KD Tree,gaussian,50,8192,3,0.00304188
KD Tree,gaussian,75,8192,3,0.00394796
KD Tree,gaussian,100,8192,3,0.00300569
KD Tree,gaussian,125,8192,3,0.00442855
KD Tree,gaussian,150,8192,3,0.00531703
KD Tree,gaussian,175,8192,3,0.00521316
KD Tree,gaussian,200,8192,3,0.0054758
KD Tree,gaussian,10,8192,10,0.00601842
KD Tree,gaussian,25,8192,10,0.00669014
KD Tree,gaussian,50,8192,10,0.007368
KD Tree,gaussian,75,8192,10,0.00858434
KD Tree,gaussian,100,8192,10,0.00928735
KD Tree,gaussian,125,8192,10,0.00990757
KD Tree,gaussian,150,8192,10,0.0104573
KD Tree,gaussian,175,8192,10,0.0115502
KD Tree,gaussian,200,8192,10,0.0104807
Dumb,gaussian,10,16384,2,0.0246466
Dumb,gaussian,25,16384,2,0.0244824
Dumb,gaussian,50,16384,2,0.0239697
Dumb,gaussian,75,16384,2,0.024326
Dumb,gaussian,100,16384,2,0.0240528
Dumb,gaussian,125,16384,2,0.0249014
Dumb,gaussian,150,16384,2,0.02456
Dumb,gaussian,175,16384,2,0.0236377
Dumb,gaussian,200,16384,2,0.0242225
Buckets,gaussian,10,16384,2,0.0293196
Buckets,gaussian,25,16384,2,0.012939
Buckets,gaussian,50,16384,2,0.015772
Buckets,gaussian,75,16384,2,0.0189085
Buckets,gaussian,100,16384,2,0.0330966
Buckets,gaussian,125,16384,2,0.0198089
Buckets,gaussian,150,16384,2,0.0152133
Buckets,gaussian,175,16384,2,0.0320292
Buckets,gaussian,200,16384,2,0.0226272
Buckets,gaussian,10,16384,3,0.0185009
Buckets,gaussian,25,16384,3,0.0215484
Buckets,gaussian,50,16384,3,0.0240555
Buckets,gaussian,75,16384,3,0.0129268
Buckets,gaussian,100,16384,3,0.0248908
Buckets,gaussian,125,16384,3,0.0159269
Buckets,gaussian,150,16384,3,0.0215676
Buckets,gaussian,175,16384,3,0.027507
Buckets,gaussian,200,16384,3,0.0257217
Buckets,gaussian,10,16384,10,7.54866
Buckets,gaussian,25,16384,10,7.62267
Buckets,gaussian,50,16384,10,7.29521
Buckets,gaussian,75,16384,10,7.34068
Buckets,gaussian,100,16384,10,7.32403
Buckets,gaussian,125,16384,10,7.31443
Buckets,gaussian,150,16384,10,7.27017
Buckets,gaussian,175,16384,10,7.2715
Buckets,gaussian,200,16384,10,7.31286
Quad Tree,gaussian,10,16384,2,0.00349429
Quad Tree,gaussian,25,16384,2,0.00361596
Quad Tree,gaussian,50,16384,2,0.00540952
Quad Tree,gaussian,75,16384,2,0.00552163
Quad Tree,gaussian,100,16384,2,0.00590887
Quad Tree,gaussian,125,16384,2,0.00578043
Quad Tree,gaussian,150,16384,2,0.00412316
Quad Tree,gaussian,175,16384,2,0.00584644
Quad Tree,gaussian,200,16384,2,0.00825245
KD Tree,gaussian,10,16384,2,0.00313717
KD Tree,gaussian,25,16384,2,0.00413285
KD Tree,gaussian,50,16384,2,0.00433971
KD Tree,gaussian,75,16384,2,0.00589966
KD Tree,gaussian,100,16384,2,0.00625436
KD Tree,gaussian,125,16384,2,0.0061808
KD Tree,gaussian,150,16384,2,0.00684178
KD Tree,gaussian,175,16384,2,0.0069732
KD Tree,gaussian,200,16384,2,0.00974496
KD Tree,gaussian,10,16384,3,0.00393365
KD Tree,gaussian,25,16384,3,0.00453629
KD Tree,gaussian,50,16384,3,0.00518306
KD Tree,gaussian,75,16384,3,0.00640769
KD Tree,gaussian,100,16384,3,0.00576284
KD Tree,gaussian,125,16384,3,0.00739462
KD Tree,gaussian,150,16384,3,0.00669663
KD Tree,gaussian,175,16384,3,0.0085338
KD Tree,gaussian,200,16384,3,0.00917963
KD Tree,gaussian,10,16384,10,0.0116206
KD Tree,gaussian,25,16384,10,0.012409
KD Tree,gaussian,50,16384,10,0.0129905
KD Tree,gaussian,75,16384,10,0.0135455
KD Tree,gaussian,100,16384,10,0.0154502
KD Tree,gaussian,125,16384,10,0.0165506
KD Tree,gaussian,150,16384,10,0.0181192
KD Tree,gaussian,175,16384,10,0.0172669
KD Tree,gaussian,200,16384,10,0.018822
Dumb,gaussian,10,32768,2,0.0511563
Dumb,gaussian,25,32768,2,0.0513523
Dumb,gaussian,50,32768,2,0.0500772
Dumb,gaussian,75,32768,2,0.0513885
Dumb,gaussian,100,32768,2,0.0520394
Dumb,gaussian,125,32768,2,0.0507324
Dumb,gaussian,150,32768,2,0.052394
Dumb,gaussian,175,32768,2,0.0514094
Dumb,gaussian,200,32768,2,0.0508866
Buckets,gaussian,10,32768,2,0.0574183
Buckets,gaussian,25,32768,2,0.0695471
Buckets,gaussian,50,32768,2,0.0637529
Buckets,gaussian,75,32768,2,0.0642849
Buckets,gaussian,100,32768,2,0.0270647
Buckets,gaussian,125,32768,2,0.0588611
Buckets,gaussian,150,32768,2,0.0547026
Buckets,gaussian,175,32768,2,0.0360657
Buckets,gaussian,200,32768,2,0.0394739
Buckets,gaussian,10,32768,3,0.0323751
Buckets,gaussian,25,32768,3,0.0288855
Buckets,gaussian,50,32768,3,0.0620902
Buckets,gaussian,75,32768,3,0.0504453
Buckets,gaussian,100,32768,3,0.0473013
Buckets,gaussian,125,32768,3,0.0253603
Buckets,gaussian,150,32768,3,0.0362208
Buckets,gaussian,175,32768,3,0.0507926
Buckets,gaussian,200,32768,3,0.0622182
Buckets,gaussian,10,32768,10,0.10085
Buckets,gaussian,25,32768,10,2.61977
Buckets,gaussian,50,32768,10,7.54582
Buckets,gaussian,75,32768,10,7.61957
Buckets,gaussian,100,32768,10,7.58458
Buckets,gaussian,125,32768,10,7.59258
Buckets,gaussian,150,32768,10,7.58434
Buckets,gaussian,175,32768,10,7.56846
Buckets,gaussian,200,32768,10,7.55187
Quad Tree,gaussian,10,32768,2,0.00630833
Quad Tree,gaussian,25,32768,2,0.00739988
Quad Tree,gaussian,50,32768,2,0.0061621
Quad Tree,gaussian,75,32768,2,0.009568
Quad Tree,gaussian,100,32768,2,0.00905163
Quad Tree,gaussian,125,32768,2,0.0126446
Quad Tree,gaussian,150,32768,2,0.00909928
Quad Tree,gaussian,175,32768,2,0.0129433
Quad Tree,gaussian,200,32768,2,0.00895369
KD Tree,gaussian,10,32768,2,0.00578273
KD Tree,gaussian,25,32768,2,0.00790379
KD Tree,gaussian,50,32768,2,0.00809561
KD Tree,gaussian,75,32768,2,0.00963626
KD Tree,gaussian,100,32768,2,0.012557
KD Tree,gaussian,125,32768,2,0.0123023
KD Tree,gaussian,150,32768,2,0.0153545
KD Tree,gaussian,175,32768,2,0.0124033
KD Tree,gaussian,200,32768,2,0.0149405
KD Tree,gaussian,10,32768,3,0.00815678
KD Tree,gaussian,25,32768,3,0.00849682
KD Tree,gaussian,50,32768,3,0.00939848
KD Tree,gaussian,75,32768,3,0.00944531
KD Tree,gaussian,100,32768,3,0.00930199
KD Tree,gaussian,125,32768,3,0.0109004
KD Tree,gaussian,150,32768,3,0.0107788
KD Tree,gaussian,175,32768,3,0.0125502
KD Tree,gaussian,200,32768,3,0.0121275
KD Tree,gaussian,10,32768,10,0.0230325
KD Tree,gaussian,25,32768,10,0.0232279
KD Tree,gaussian,50,32768,10,0.0239923
KD Tree,gaussian,75,32768,10,0.0271231
KD Tree,gaussian,100,32768,10,0.0261249
KD Tree,gaussian,125,32768,10,0.0277989
KD Tree,gaussian,150,32768,10,0.0289142
KD Tree,gaussian,175,32768,10,0.0293841
KD Tree,gaussian,200,32768,10,0.0314743
Dumb,gaussian,10,65536,2,0.109067
Dumb,gaussian,25,65536,2,0.109956
Dumb,gaussian,50,65536,2,0.110022
Dumb,gaussian,75,65536,2,0.109768
Dumb,gaussian,100,65536,2,0.108452
Dumb,gaussian,125,65536,2,0.10982
Dumb,gaussian,150,65536,2,0.107982
Dumb,gaussian,175,65536,2,0.109648
Dumb,gaussian,200,65536,2,0.11312
Buckets,gaussian,10,65536,2,0.168423
Buckets,gaussian,25,65536,2,0.036098
Buckets,gaussian,50,65536,2,0.120425
Buckets,gaussian,75,65536,2,0.136842
Buckets,gaussian,100,65536,2,0.110292
Buckets,gaussian,125,65536,2,0.124082
Buckets,gaussian,150,65536,2,0.116367
Buckets,gaussian,175,65536,2,0.121217
Buckets,gaussian,200,65536,2,0.0921536
Buckets,gaussian,10,65536,3,0.0775351
Buckets,gaussian,25,65536,3,0.12693
Buckets,gaussian,50,65536,3,0.054637
Buckets,gaussian,75,65536,3,0.0698855
Buckets,gaussian,100,65536,3,0.152202
Buckets,gaussian,125,65536,3,0.152829
Buckets,gaussian,150,65536,3,0.119582
Buckets,gaussian,175,65536,3,0.112498
Buckets,gaussian,200,65536,3,0.0734722
Buckets,gaussian,10,65536,10,0.143937
Buckets,gaussian,25,65536,10,0.11529
Buckets,gaussian,50,65536,10,2.79203
Buckets,gaussian,75,65536,10,2.76725
Buckets,gaussian,100,65536,10,5.43126
Buckets,gaussian,125,65536,10,5.45471
Buckets,gaussian,150,65536,10,5.53128
Buckets,gaussian,175,65536,10,5.54303
Buckets,gaussian,200,65536,10,8.21124
Quad Tree,gaussian,10,65536,2,0.0126312
Quad Tree,gaussian,25,65536,2,0.0128892
Quad Tree,gaussian,50,65536,2,0.0142846
Quad Tree,gaussian,75,65536,2,0.0160241
Quad Tree,gaussian,100,65536,2,0.017337
Quad Tree,gaussian,125,65536,2,0.0181726
Quad Tree,gaussian,150,65536,2,0.015418
Quad Tree,gaussian,175,65536,2,0.0238428
Quad Tree,gaussian,200,65536,2,0.0231915
KD Tree,gaussian,10,65536,2,0.0115087
KD Tree,gaussian,25,65536,2,0.0133172
KD Tree,gaussian,50,65536,2,0.01666
KD Tree,gaussian,75,65536,2,0.0185327
KD Tree,gaussian,100,65536,2,0.0173591
KD Tree,gaussian,125,65536,2,0.0179433
KD Tree,gaussian,150,65536,2,0.0209434
KD Tree,gaussian,175,65536,2,0.0208903
KD Tree,gaussian,200,65536,2,0.0213832
KD Tree,gaussian,10,65536,3,0.0148896
KD Tree,gaussian,25,65536,3,0.0151154
KD Tree,gaussian,50,65536,3,0.0172358
KD Tree,gaussian,75,65536,3,0.0174913
KD Tree,gaussian,100,65536,3,0.0191987
KD Tree,gaussian,125,65536,3,0.0180999
KD Tree,gaussian,150,65536,3,0.0188205
KD Tree,gaussian,175,65536,3,0.02072
KD Tree,gaussian,200,65536,3,0.0226997
KD Tree,gaussian,10,65536,10,0.0458634
KD Tree,gaussian,25,65536,10,0.0471721
KD Tree,gaussian,50,65536,10,0.0472318
KD Tree,gaussian,75,65536,10,0.0500874
KD Tree,gaussian,100,65536,10,0.0521375
KD Tree,gaussian,125,65536,10,0.0500506
KD Tree,gaussian,150,65536,10,0.0530109
KD Tree,gaussian,175,65536,10,0.0540582
KD Tree,gaussian,200,65536,10,0.0546885
Dumb,gaussian,10,131072,2,0.229888
Dumb,gaussian,25,131072,2,0.230742
Dumb,gaussian,50,131072,2,0.233328
Dumb,gaussian,75,131072,2,0.232187
Dumb,gaussian,100,131072,2,0.231607
Dumb,gaussian,125,131072,2,0.231645
Dumb,gaussian,150,131072,2,0.23031
Dumb,gaussian,175,131072,2,0.230973
Dumb,gaussian,200,131072,2,0.234874
Buckets,gaussian,10,131072,2,0.292966
Buckets,gaussian,25,131072,2,0.290086
Buckets,gaussian,50,131072,2,0.38445
Buckets,gaussian,75,131072,2,0.228673
Buckets,gaussian,100,131072,2,0.335486
Buckets,gaussian,125,131072,2,0.391762
Buckets,gaussian,150,131072,2,0.244126
Buckets,gaussian,175,131072,2,0.29055
Buckets,gaussian,200,131072,2,0.270353
Buckets,gaussian,10,131072,3,0.363946
Buckets,gaussian,25,131072,3,0.306196
Buckets,gaussian,50,131072,3,0.219215
Buckets,gaussian,75,131072,3,0.127853
Buckets,gaussian,100,131072,3,0.288646
Buckets,gaussian,125,131072,3,0.341612
Buckets,gaussian,150,131072,3,0.312848
Buckets,gaussian,175,131072,3,0.17997
Buckets,gaussian,200,131072,3,0.266935
Buckets,gaussian,10,131072,10,0.0732402
Buckets,gaussian,25,131072,10,0.101462
Buckets,gaussian,50,131072,10,3.18463
Buckets,gaussian,75,131072,10,3.20253
Buckets,gaussian,100,131072,10,6.24398
Buckets,gaussian,125,131072,10,6.29998
Buckets,gaussian,150,131072,10,6.27834
Buckets,gaussian,175,131072,10,9.31211
Buckets,gaussian,200,131072,10,9.30685
Quad Tree,gaussian,10,131072,2,0.0245168
Quad Tree,gaussian,25,131072,2,0.0256223
Quad Tree,gaussian,50,131072,2,0.0290746
Quad Tree,gaussian,75,131072,2,0.0274653
Quad Tree,gaussian,100,131072,2,0.0301544
Quad Tree,gaussian,125,131072,2,0.0292615
Quad Tree,gaussian,150,131072,2,0.0346303
Quad Tree,gaussian,175,131072,2,0.0343789
Quad Tree,gaussian,200,131072,2,0.0410834
KD Tree,gaussian,10,131072,2,0.0204941
KD Tree,gaussian,25,131072,2,0.0250669
KD Tree,gaussian,50,131072,2,0.0273792
KD Tree,gaussian,75,131072,2,0.0285403
KD Tree,gaussian,100,131072,2,0.0284141
KD Tree,gaussian,125,131072,2,0.0301485
KD Tree,gaussian,150,131072,2,0.0334518
KD Tree,gaussian,175,131072,2,0.0405298
KD Tree,gaussian,200,131072,2,0.0335173
KD Tree,gaussian,10,131072,3,0.0303185
KD Tree,gaussian,25,131072,3,0.0278458
KD Tree,gaussian,50,131072,3,0.0315616
KD Tree,gaussian,75,131072,3,0.0322355
KD Tree,gaussian,100,131072,3,0.0325564
KD Tree,gaussian,125,131072,3,0.0349616
KD Tree,gaussian,150,131072,3,0.03851
KD Tree,gaussian,175,131072,3,0.0424399
KD Tree,gaussian,200,131072,3,0.0377798
KD Tree,gaussian,10,131072,10,0.0925326
KD Tree,gaussian,25,131072,10,0.0945512
KD Tree,gaussian,50,131072,10,0.0932409
KD Tree,gaussian,75,131072,10,0.0964168
KD Tree,gaussian,100,131072,10,0.0985078
KD Tree,gaussian,125,131072,10,0.0981459
KD Tree,gaussian,150,131072,10,0.0998331
KD Tree,gaussian,175,131072,10,0.0998852
KD Tree,gaussian,200,131072,10,0.101564
Dumb,gaussian,10,262144,2,0.484886
Dumb,gaussian,25,262144,2,0.500373
Dumb,gaussian,50,262144,2,0.492407
Dumb,gaussian,75,262144,2,0.500533
Dumb,gaussian,100,262144,2,0.491943
Dumb,gaussian,125,262144,2,0.496981
Dumb,gaussian,150,262144,2,0.499823
Dumb,gaussian,175,262144,2,0.500446
Dumb,gaussian,200,262144,2,0.493428
Buckets,gaussian,10,262144,2,0.67041
Buckets,gaussian,25,262144,2,0.580763
Buckets,gaussian,50,262144,2,0.202973
Buckets,gaussian,75,262144,2,0.560488
Buckets,gaussian,100,262144,2,0.444866
Buckets,gaussian,125,262144,2,0.66394
Buckets,gaussian,150,262144,2,0.816906
Buckets,gaussian,175,262144,2,0.65105
Buckets,gaussian,200,262144,2,0.677531
Buckets,gaussian,10,262144,3,0.502278
Buckets,gaussian,25,262144,3,0.411723
Buckets,gaussian,50,262144,3,0.487529
